[      72ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom_client.js?v=8b30a122:14337
[   19369ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   20012ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   20012ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   21802ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   21802ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   21805ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   21806ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   22654ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   22655ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   24272ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   24273ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   39286ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   39286ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   40154ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   40154ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   41863ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   41863ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   41865ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   41865ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   42850ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   42851ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   44543ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   44543ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   45552ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   45553ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   46546ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   46546ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   48314ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   48314ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   48318ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   48319ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   49138ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   49139ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   49384ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   49384ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   50349ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   50349ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   50789ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   50790ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   52063ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   52063ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   53071ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   53071ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   53891ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   53892ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   55558ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   55558ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   65805ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   65805ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   66809ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   66810ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   68587ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   68587ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   68591ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   68592ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   69577ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   69577ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   71253ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   71254ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   72260ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   72261ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   73237ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   73237ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   74916ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts/rich:0
[   74917ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   74919ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   74920ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   75808ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   75808ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   77502ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/alerts:0
[   77503ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   85574ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   85575ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   86391ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   86391ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   88019ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   88019ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   89026ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   89026ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
[   89899ms] [ERROR] Failed to load resource: the server responded with a status of 502 (Bad Gateway) @ http://localhost:5173/api/v1/analytics/predictions?horizon_minutes=60:0
[   89900ms] [ERROR] [API 502] Request failed (502) @ http://localhost:5173/@vite/client:524
